Team Name,Opposition Name,Tournament,Date,Time,Venue,Umpire,Player of the Match,Result,Result Info,Match ID,Opposition Runs,Opposition Wickets Fallen,Opposition Overs,Team Runs,Team Wickets Fallen,Team Overs,Season,Bowl First,difference,POTM Team
Two Bats or Not To Bat,Dicket,Clapham Common / Ruskin Park Tuesday,12/05/2013,17:00,Clapham Common oval,Rezaul Karim Hiron,,Loss,Dicket Won by 147 runs,M001,219,2,18,72,7,18,2013,TRUE,147,-
Two Bats or Not To Bat,Wandsworth Chin Music,Clapham Common / Ruskin Park Tuesday,19/05/2013,11:20,Clapham Common oval,Rezaul Karim Hiron,,Loss,Wandsworth Chin Music Won by 136 runs,M002,202,3,20,66,8,14.3,2013,TRUE,136,-
Two Bats or Not To Bat,Clungely County,Clapham Common / Ruskin Park Tuesday,02/06/2013,12:20,Clapham Common oval,Rezaul Karim Hiron,,Loss,Clungely County Won by 6 wickets,M003,119,2,15.4,116,7,20,2013,FALSE,3,-
Two Bats or Not To Bat,Schooner of drambuie,Clapham Common / Ruskin Park Tuesday,09/06/2013,17:00,Clapham Common oval,Rezaul Karim Hiron,,Loss,Schooner of drambuie Won by 109 runs,M004,218,2,20,109,1,20,2013,TRUE,109,-
Two Bats or Not To Bat,Sherborne Pilgrims,Clapham Common / Ruskin Park Tuesday,16/06/2013,13:30,Clapham Common oval,Rezaul Karim Hiron,,Loss,Sherborne Pilgrims Won by 122 runs,M005,234,2,20,112,4,20,2013,TRUE,122,-
Two Bats or Not To Bat,Frank's Tanks,Clapham Common / Ruskin Park Tuesday,30/06/2013,15:45,Clapham Common oval,Rezaul Karim Hiron,,Loss,Frank's Tanks Won by 188 runs,M006,283,5,20,95,5,20,2013,TRUE,188,-
Two Bats or Not To Bat,Gully Crackers,Clapham Common / Ruskin Park Tuesday,07/07/2013,11:15,Clapham Common oval,Rezaul Karim Hiron,,Loss,Gully Crackers Won by 150 runs,M007,216,5,20,66,8,18,2013,TRUE,150,-
Two Bats or Not To Bat,The Entertainers,Clapham Common / Ruskin Park Tuesday,07/07/2013,13:30,Clapham Common oval,Rezaul Karim Hiron,,Loss,The Entertainers Won by 34 runs,M008,200,7,20,166,7,20,2013,TRUE,34,-
Two Bats or Not To Bat,The Entertainers,Clapham Common / Ruskin Park Thursday,21/07/2013,14:40,Clapham Common oval,Rezaul Karim Hiron,,Loss,The Entertainers Won by 53 runs,M009,172,4,20,119,8,16,2013,TRUE,53,-
Two Bats or Not To Bat,Clungely County,Clapham Common / Ruskin Park Thursday,28/07/2013,15:45,Clapham Common oval,Rezaul Karim Hiron,,Loss,Clungely County Won by 3 wickets,M010,128,5,14.2,127,5,20,2013,FALSE,1,-
Two Bats or Not To Bat,8 Bats and 15 Balls,Happy Hitters Group E,30/08/2013,17:45,Belair Park 1,Emdad Chowdhury,,Loss,8 Bats and 15 Balls Won by 79 runs,M011,186,7,20,107,8,19.1,2013,TRUE,79,-
Two Bats or Not To Bat,Indus Vipers,Happy Hitters Group E,31/08/2013,9:45,Dulwich Sports Ground 4 (Artificial),Rezaul Karim Hiron,,Loss,Indus Vipers Won by 88 runs,M012,209,3,20,121,4,20,2013,TRUE,88,-
Two Bats or Not To Bat,Bromborough Penguins,Happy Hitters Plate Play Offs,01/09/2013,9:00,Belair Park 2,S M Shabuddin Arif,,Loss,Bromborough Penguins Won by 76 runs,M013,199,7,20,123,8,16.4,2013,TRUE,76,-
Two Bats or Not To Bat,The Golden Ducks,Clapham Common / Ruskin Park Tuesday,27/04/2014,10:00,Clapham Common oval,,,Win,Two Bats or Not To Bat Won by 7 wickets,M014,76,8,17.1,77,1,10,2014,TRUE,-1,-
Two Bats or Not To Bat,Action Checkemlads,London Friendlies,04/05/2014,12:00,Clapham Common oval,S M Shabuddin Arif,,Loss,Action Checkemlads Won by 22 runs,M015,135,6,20,113,7,20,2014,TRUE,22,-
Two Bats or Not To Bat,Ball Shiners,Clapham Common / Ruskin Park Tuesday,11/05/2014,12:20,Clapham Common oval,,,Loss,Ball Shiners Won by 60 runs,M016,190,3,20,130,5,20,2014,TRUE,60,-
Two Bats or Not To Bat,Dicket,Clapham Common / Ruskin Park Tuesday,18/05/2014,10:00,Clapham Common oval,,,Loss,Dicket Won by 216 runs,M017,272,0,20,56,8,12.2,2014,TRUE,216,-
Two Bats or Not To Bat,Mpingwe MAUK,Clapham Common / Ruskin Park Tuesday,01/06/2014,14:40,Clapham Common oval,,,Loss,Mpingwe MAUK Won by 106 runs,M018,163,5,20,57,8,18.4,2014,TRUE,106,-
Two Bats or Not To Bat,Ball Shiners,Clapham Common / Ruskin Park Tuesday,08/06/2014,14:40,Clapham Common oval,,,Loss,Ball Shiners Won by 63 runs,M019,200,5,20,137,5,20,2014,TRUE,63,-
Two Bats or Not To Bat,Feathered Beeks,Clapham Common / Ruskin Park Tuesday,15/06/2014,17:00,Clapham Common oval,,,Loss,Feathered Beeks Won by 155 runs,M020,239,2,20,84,6,20,2014,TRUE,155,-
Two Bats or Not To Bat,The Entertainers,Clapham Common / Ruskin Park Tuesday,22/06/2014,17:45,Clapham Common oval,,,Loss,The Entertainers Won by 118 runs,M021,197,4,20,79,8,19,2014,TRUE,118,-
