player_id,player_name,roles,matches,bat_innings,runs,balls_faced,4s,6s,50s,30s,high_score,strike_rate,bat_avg,dismissals,ducks,not_outs,bowl_innings,overs_bowled,runs_conceded,wickets,maidens,economy,bowl_avg,bbi,3wickets,matches_played
TBONTB_0001,PB Heath,,22,22,311,303,0,0,1,0,50*,102.64,14.81,21,3,1,22,77.0,783,14,0,10.17,55.93,2/44,0,22
TBONTB_0002,RM Sheridan,,81,80,1911,1737,9,0,10,17,67*,110.02,36.06,53,1,27,79,241.0,2218,53,0,9.20,41.85,3/24,4,81
TBONTB_0003,Higgins PA,,131,122,1736,1461,80,1,9,6,57*,118.82,18.08,96,17,26,114,202.4,2393,32,0,11.80,74.78,2/27,0,131
TBONTB_0004,TGR Thorn,,9,9,227,173,0,0,1,2,51,131.21,32.43,7,0,2,9,34.0,336,4,0,9.88,84.00,1/39,0,9
TBONTB_0005,DM Sheridan,,73,65,1268,947,19,2,9,8,69*,133.90,30.19,42,4,23,72,231.3,2153,55,1,9.30,39.15,3/53,2,73
TBONTB_0006,WE Leuty,,22,20,105,192,1,0,0,0,29,54.69,6.18,17,6,3,21,37.0,433,8,0,11.70,54.13,1/25,0,22
TBONTB_0007,MP Young,,14,11,110,132,0,0,0,0,25,83.33,11.00,10,0,1,14,40.0,411,11,0,10.28,37.36,5/18,1,14
TBONTB_0008,OCYG Willems,,152,146,3206,2371,152,1,15,28,80*,135.22,26.72,120,5,26,152,461.4,4706,124,3,10.19,37.95,4/22,8,152
TBONTB_0009,CTP Clark,,49,41,143,225,7,2,0,1,36,63.56,3.86,37,17,4,44,82.0,1218,18,0,14.85,67.67,3/53,1,49
TBONTB_0010,TP Marshall,,8,6,91,63,0,0,0,1,49*,144.44,22.75,4,0,2,8,18.0,210,4,0,11.67,52.50,1/32,0,8
TBONTB_0011,JC Davies,,1,1,12,12,0,0,0,0,12,100.00,12.00,1,0,0,1,2.0,35,0,0,17.50,,0/35,0,1
TBONTB_0012,GL Levine,,17,15,71,105,0,0,0,0,17,67.62,5.46,13,2,2,15,20.0,251,2,0,12.55,125.50,1/9,0,17
TBONTB_0013,AMC Hopkins,,3,3,0,5,0,0,0,0,0*,0.00,0.00,2,2,1,,,,,,,,,,3
TBONTB_0014,KM Toms,,55,54,490,555,14,0,0,3,39,88.29,10.89,45,8,9,51,117.1,1553,21,0,13.25,73.95,2/17,0,55
TBONTB_0015,JBP McDonnell,,2,2,9,13,0,0,0,0,6,69.23,4.50,2,0,0,2,5.2,57,1,0,10.56,57.00,1/31,0,2
TBONTB_0016,Asad Rehman,,23,23,447,301,4,0,4,1,85*,148.50,22.35,20,4,3,23,60.0,773,12,0,12.88,64.42,3/22,1,23
TBONTB_0017,Altaf Hussain,,3,2,81,51,2,1,0,2,49,158.82,81.00,1,0,1,1,1.0,10,0,0,10.00,,0/10,0,3
TBONTB_0018,RN Arnott - Davies,,3,2,38,21,0,0,0,1,31,180.95,19.00,2,0,0,3,5.0,65,0,0,13.00,,0/22,0,3
TBONTB_0019,SK Das,,55,49,983,852,0,0,4,12,58,115.38,28.09,35,2,14,55,155.0,1707,26,0,11.01,65.65,2/14,0,55
TBONTB_0020,Tristan Langford,,82,80,1956,1256,165,23,15,13,101*,155.73,37.62,52,4,28,82,233.0,2469,40,1,10.60,61.73,2/34,0,82
